,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('Fp1', 'Cz')",0.0,-0.46845433565153793,0.46845433565153793,-0.5824451734272537,-0.36043235487863345,beta2
"('F4', 'T4')",0.0,-0.46715128334534306,0.46715128334534306,-0.5540390964394889,-0.3511342755411374,beta2
"('O2', 'Cz')",0.0,0.4636348848309654,0.4636348848309654,0.33649817247970404,0.5595962002139405,alpha1
"('T5', 'O2')",0.0,0.45928105176580675,0.45928105176580675,0.358073090912149,0.5566496996605456,alpha1
"('Fp1', 'F7')",0.0,-0.4590070940195064,0.4590070940195064,-0.5572870105509495,-0.34928667514453393,gamma
"('Fp1', 'Cz')",0.0,-0.45798443306211334,0.45798443306211334,-0.5939439218020004,-0.38997598799860367,alpha2
"('Fp1', 'Fp2')",0.0,-0.4576167091959952,0.4576167091959952,-0.5485673298462501,-0.35433313044443887,beta2
"('F4', 'T3')",0.0,-0.4564030062251123,0.4564030062251123,-0.5622404346350138,-0.36284792152085954,alpha2
"('Fz', 'C3')",0.0,-0.45543879745706334,0.45543879745706334,-0.5533911187259702,-0.3928243583864583,alpha2
"('F4', 'C4')",0.0,-0.4539632966226129,0.4539632966226129,-0.5657594901619664,-0.31737050312880116,beta1
"('Fp1', 'C3')",0.0,-0.4529384799390327,0.4529384799390327,-0.5580286397664476,-0.3414841293487509,delta
"('T4', 'C4')",0.0,-0.45248713613575314,0.45248713613575314,-0.5358342268735777,-0.37017269831313565,beta1
"('F7', 'C4')",0.0,-0.45222446272869565,0.45222446272869565,-0.5336056392923095,-0.3042006560586389,alpha2
"('Fp1', 'Cz')",0.0,-0.4515874477633357,0.4515874477633357,-0.5079573586847372,-0.3741622261708067,alpha1
"('F7', 'T3')",0.0,-0.45085086707385635,0.45085086707385635,-0.6460499206656967,-0.34560654537536956,beta1
"('F4', 'Cz')",0.0,-0.4503244897434769,0.4503244897434769,-0.5493617614898766,-0.3282423450481754,beta1
"('Fp1', 'C3')",0.0,-0.44746095845786443,0.44746095845786443,-0.5430427659534764,-0.32179042675191805,theta
"('Fp1', 'Fz')",0.0,-0.44700056642514496,0.44700056642514496,-0.5143018732217044,-0.36795345134641977,theta
"('O1', 'O2')",0.0,0.445950781804218,0.445950781804218,0.3194614414072214,0.5810245007984693,beta2
"('Fz', 'O2')",0.0,-0.44586301137260287,0.44586301137260287,-0.608710233402784,-0.29844991683452066,alpha2
"('Fp2', 'Cz')",0.0,-0.4456415954791166,0.4456415954791166,-0.5640328118019312,-0.3656073625646545,alpha2
