,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('Fp2', 'F3')",3.5822046701787744e-17,-0.7337680961720423,0.7337680961720423,0.4909227516979799,-0.948283647637196,0.12,0.28123580053060415,-0.8972474895345223,0.282,0.12020162325321199,-0.8937572687671976,0.552,0.01934479636356503,-0.8500170204832387,0.902,0.0030049233711300673,-0.8391695689713706,0.994,9.92721495344857e-05,-0.8211831085754651,1.0,alpha2
"('F3', 'F8')",3.04668012041752e-15,-0.7277352307198579,0.7277352307198579,0.5833166617946095,-0.8194533221117688,0.056,0.3834238068511554,-0.7902168704324475,0.17,0.2138242533570759,-0.7914345608058653,0.384,0.04865707538253456,-0.7708735859991195,0.762,0.014975330687750922,-0.7640781283658841,0.946,0.000463921263693976,-0.7548728898623009,1.0,alpha2
"('Fz', 'F8')",3.197368175942688e-15,-0.7272604556474189,0.7272604556474189,0.5576428839163269,-0.8655136052611028,0.084,0.3841943562133902,-0.8110679151028498,0.198,0.2160265089573992,-0.8172207681958376,0.414,0.05514397140239426,-0.7811323733853333,0.758,0.017030272807657575,-0.772765939319428,0.924,0.0007187553716019137,-0.7566797697312982,0.998,alpha2
"('Fp1', 'T6')",2.1237381107206128e-13,-0.7214187211388338,0.7214187211388338,0.6811490973348084,-0.7514559733381557,0.038,0.4763325785931288,-0.7061123187402291,0.104,0.2942055350717966,-0.7173599328687681,0.272,0.08435210772532958,-0.6993867785632911,0.65,0.020551594067118536,-0.695682504744605,0.89,0.0012055226654647372,-0.6860752206247908,1.0,alpha2
"('F4', 'Cz')",2.5637008937018635e-13,-0.7047839556159862,0.7047839556159862,0.6479505711491772,-0.7700529909017151,0.058,0.4689985789921126,-0.7428582212420037,0.126,0.3122480940035147,-0.7198043722277275,0.264,0.09939389854653977,-0.7106383945093081,0.61,0.0334314971283027,-0.7111981740361679,0.858,0.0015792489872531038,-0.6931765578563788,0.996,alpha2
"('Fp2', 'F4')",2.4488331838687098e-14,-0.6971296440612956,0.6971296440612956,0.628106866349918,-0.7888218163585293,0.04,0.41260251261914604,-0.7689137077115966,0.142,0.2517337845938513,-0.7468369969928877,0.322,0.0658071179892224,-0.7458936958094751,0.68,0.019454276653493786,-0.729028435907021,0.92,0.0008014708691445228,-0.7151707178921305,1.0,beta2
"('F4', 'F8')",1.7264605264795064e-15,-0.6917967726570442,0.6917967726570442,0.52450097507372,-0.941155870169828,0.132,0.38391638665048994,-0.8600294508726914,0.258,0.23049245036350846,-0.8641195430288834,0.484,0.07063669213227572,-0.8154504397045503,0.746,0.027192137933863957,-0.8028025732076707,0.888,0.0013739816088177016,-0.7944419831658757,0.996,alpha2
"('Fp2', 'Fz')",3.8343483215861495e-14,-0.6903748041269144,0.6903748041269144,0.6121646819829414,-0.7797260543950134,0.026,0.4133748037481204,-0.7518848424718759,0.126,0.2332683057135976,-0.7430538489711618,0.32,0.06677927928852175,-0.7300181779714233,0.716,0.015221583038378577,-0.7252934772103127,0.94,0.000628737443301516,-0.7152363768278597,0.998,beta1
"('Fp1', 'F3')",9.165738301011129e-14,-0.6813481173557722,0.6813481173557722,0.5883331995817155,-0.8290599856304294,0.026,0.35077789443661517,-0.8057719196732989,0.124,0.18816169804389282,-0.7642004754813997,0.284,0.03856882773901702,-0.7512510868055466,0.77,0.006902693870489022,-0.7308530945251817,0.984,0.0002509846925676795,-0.7225007065471404,1.0,alpha1
"('T3', 'C3')",1.4088991243062462e-12,-0.6726591308865429,0.6726591308865429,0.6969015068373995,-0.7340353423690253,0.012,0.518012558085041,-0.6804297536269246,0.064,0.2821080536159131,-0.6940483085290656,0.21,0.09135530147449365,-0.6672698440556422,0.576,0.022068425855064525,-0.6731370781838546,0.9,0.0016843185882345422,-0.6657482480141019,0.994,alpha2
"('Fz', 'F4')",5.697831584373575e-13,-0.6653099908196543,0.6653099908196543,0.6697148742909964,-0.7525367054732771,0.03,0.45917198278146265,-0.7416210139290124,0.112,0.30884600884665575,-0.715628030233857,0.252,0.08425576454841983,-0.7116731496674834,0.652,0.026272821125393624,-0.6934752096323834,0.866,0.0011153303437355915,-0.6850998549031939,1.0,beta1
"('F7', 'Cz')",8.330718484386374e-15,-0.6584286711690097,0.6584286711690097,0.5784390983476622,-0.8532224568471414,0.072,0.3970393624778236,-0.813639451867263,0.196,0.23260305315526436,-0.801132767659369,0.402,0.07374388968589694,-0.7768426928492275,0.72,0.01942598987413063,-0.7625985142824018,0.916,0.001068130944704238,-0.7556818845227264,0.998,alpha2
"('F4', 'F8')",2.8273431693420757e-11,-0.6530140701655287,0.6530140701655287,0.7077619949556684,-0.7169229471870536,0.026,0.5479032280212004,-0.6892812642710058,0.11,0.37928805401103516,-0.682663476551333,0.268,0.16844643094762202,-0.6721916735306427,0.508,0.08087575592669928,-0.6477375063987085,0.728,0.006683395021578156,-0.6344258583744702,0.958,beta1
"('F3', 'Fz')",1.3913404700402602e-11,-0.6490066586191079,0.6490066586191079,0.7331126431537226,-0.6979078249414857,0.03,0.543585630730109,-0.6798017344000838,0.076,0.34360807867438625,-0.6713434400082032,0.194,0.12393824970684272,-0.6540978346060735,0.512,0.04058143441341746,-0.6498817872897245,0.826,0.003599553694330795,-0.6404168668633267,0.994,beta1
"('Fp2', 'O2')",2.180583124789794e-12,-0.6423945416348323,0.6423945416348323,0.6889618467946129,-0.7481524615296555,0.04,0.5334520461486405,-0.6949316103655981,0.11,0.3419684774267676,-0.6971167702325293,0.23,0.1236019216884099,-0.6874598739931032,0.562,0.038795001423208575,-0.6736811011888167,0.794,0.0031638897825694116,-0.6631134798536369,0.988,alpha2
"('F3', 'Cz')",1.4088991243062462e-12,-0.6320150453948976,0.6320150453948976,0.6102332895028714,-0.8122108617999843,0.056,0.43971643293469687,-0.7608466227412236,0.158,0.328966422090561,-0.7264390397759645,0.328,0.13336943926159703,-0.7121501753192604,0.632,0.04263546540464915,-0.708656130039566,0.816,0.0042257079463194885,-0.6915796132316144,0.982,alpha2
"('F3', 'T6')",1.9361649891532188e-11,-0.6260720934668305,0.6260720934668305,0.7121523923693255,-0.7142481408309843,0.04,0.5713341444311685,-0.6548744593232866,0.068,0.37156492251304574,-0.6611367918015368,0.196,0.16678383778767217,-0.6385079833892856,0.482,0.053600737243395834,-0.6323533244029499,0.718,0.004706894923203565,-0.6308419266745939,0.984,alpha2
"('Fp1', 'F7')",5.0713282206505964e-12,-0.6231429477798408,0.6231429477798408,0.7211190614811561,-0.7109047655671866,0.02,0.5118261254218581,-0.6974783716222069,0.094,0.33147765319332373,-0.6836508352183289,0.182,0.1086107232466634,-0.6781508702447236,0.558,0.04191737421476946,-0.6522541538256966,0.818,0.002406559577070898,-0.6489716450403936,0.994,beta2
"('F8', 'O1')",4.726568573833526e-12,-0.6215957923064843,0.6215957923064843,0.7067401387889581,-0.713905629437475,0.032,0.5353952872150416,-0.6803573690405621,0.086,0.35690102027148723,-0.6722041031496121,0.214,0.1637321594010355,-0.6550165687957147,0.508,0.045553890787677756,-0.650124463378494,0.784,0.003259988023823244,-0.6611580211456161,0.986,alpha2
"('Fp1', 'Cz')",3.849358854644001e-11,-0.6189732269995145,0.6189732269995145,0.7635894313624711,-0.6617220643825852,0.01,0.5554604458631618,-0.6579138544977884,0.056,0.3824874202280183,-0.6372664103380562,0.142,0.14559178147402355,-0.6335035348458111,0.454,0.03980775049679288,-0.6319407600798869,0.806,0.004143809669594534,-0.6180773475868437,0.992,beta1
"('Fp1', 'C3')",5.2856945790559375e-11,-0.6178570794438129,0.6178570794438129,0.757197904109515,-0.663213716504366,0.004,0.5445698895165331,-0.6590414996220364,0.056,0.3960944395134333,-0.6313836220608575,0.124,0.1414886274514826,-0.6296478586501821,0.474,0.046237617918598886,-0.6170476352750756,0.748,0.0038092678900626784,-0.6106685180986907,0.988,beta1
